Participant,Parent Node,Child Node 1,Child Node 2,Quotes,Summary of Child Node 1,Summary of Child Node 2
FGD-4_P5,Heat Exposure,Vehicles,,"“Yes, the heat increases because of the cars.”",,
FGD-4_P6,Heat Exposure,Vehicles,,“And vehicle emissions add to it.”,,
FGD-5_P11,Heat Exposure,Vehicles,,"“Heat increases due to vehicles, factories, and population.”",,
FGD-5_P11,Heat Exposure,Vehicles,,"“Then there’s the heat generated by engines, motors, and electricity. (M: Okay.) Compared to the number of people, there are too many vehicles in Dhaka. Some are without fitness, and some are with it.”",,
FGD-5_P5,Heat Exposure,Vehicles,,"“About the heat, I’d like to say that the primary reason for it is the city itself. Gulistan is full of vehicles-----”",,
FGD-5_P5,Heat Exposure,Vehicles,,"“There are too many vehicles here. Then there’s the use of AC, and there are no trees around. So, the smoke, the crowd, and the lack of greenery all contribute to the heat.”",,
KII_P8,Heat Exposure,Waste and Stagnant water,," “Waste management is another issue—we dump waste, but we don’t manage it properly. The methane produced from this is significant. We are an agriculture-dependent country, and emissions from agricultural fields are substantial. If you calculate the emissions within Dhaka city, you will see that there are still some agricultural fields in and around the city. In Dhaka and its surroundings, there are areas used as floodplains, where cattle are also raised. So, where does the methane from these sources go?”",,
KII_P1,Adaptive capacity,Water Spraying,,"Ah! In some Western countries, they spray water in public places, such as bus stops or railway stations. But I have seen some of them using this sort of heavy clothing, and they also allow half-sleeve shirts or T-shirts even for official purposes (for example, Japan introduced such a rule). Right, that's mostly it!","Participants described a range of adaptive strategies used to cope with extreme heat at both community and household levels. One KII participant referred to heat adaptation measures implemented in other countries, such as spraying water in crowded public spaces to reduce ambient temperature and adopting more flexible dress codes that encourage the use of lightweight and breathable clothing, including cotton half-sleeve shirts or t-shirts, even in formal settings. At the household level, lower-income populations reported using low-cost and easily accessible cooling techniques to reduce indoor heat. These included placing soaked cloths over windows to allow cooler air to circulate into the room, sprinkling water on floors to reduce indoor temperature, and pouring water on rooftops to cool the roof surface and minimize heat inside the home. Participants perceived these practices as practical coping mechanisms during periods of extreme heat and heatwaves.",
FGD-8_P5,Adaptive capacity,Water Spraying,,"though I don’t exactly remember who—what they do is pour water, soak clothes, and put them over windows or doors, and on the floor they spread soaked sheets or scarves. You pour water on the floor? Yes. It cools things down a bit, so we can sleep, otherwise, it’s impossible. Yes, at night.During the day? During the day, the cloth remains there, but no additional water is poured like at night.",,
FGD-8_P6,Adaptive capacity,Water Spraying,,Sometimes they add a layer of insulation or spray water on the tin—it reduces the heat slightly.,,
FGD2_P6,Recommended Adaptation Strategies,Water Spraying,,"He fainted, so I held him and immediately took him to a nearby pharmacy. Once there, I poured water on his head.",,
FGD-4_P1,Recommended Adaptation Strategies,Water Spraying,,"“I think if water is sprayed on the roads in Dhaka, it would help cool down the atmosphere.”",,
FGD-4_P1,Recommended Adaptation Strategies,Water Spraying,,"“If water is sprayed on the roads, it will reduce the dust and the weather will feel lighter.”",,
FGD-4_P3,Recommended Adaptation Strategies,Water Spraying,,"""I believe spraying water on the roads is very necessary. In the winter season, when everyone gets a cold or cough, spraying water on the roads helps. During winter, there is a lot of dust because there's no water. If water is sprayed on the roads in winter, it will help reduce the dust for people who walk. People already suffer from colds in winter, and the dust makes it worse. If water is sprayed during winter, it will be beneficial. In summer, water becomes scarce, so it's not possible to do that.”",,
FGD-4_P3,Recommended Adaptation Strategies,Water Spraying,,"“I believe water should be sprayed in the winter. In the summer, we get enough rain, once or twice a week”",,
FGD-5_P11,Recommended Adaptation Strategies,Water Spraying,,"“To cool down the roads, we need to spray water. Vehicles should spray water, which will help reduce road heat to some extent. (P2: If you spray water, it feels cooler.) However, no matter what we do, unless we plant trees, there’s no real alternative. Spraying water is just temporary.”",,
FGD-5_P2,Recommended Adaptation Strategies,Water Spraying,,“And it will reduce the dust as well. (M: The dust will be reduced.) Both dust and heat will feel less severe.”,,
FGD-5_P8,Recommended Adaptation Strategies,Water Spraying,,“Spray water and plant more trees...”,,
FGD-6_P1,Recommended Adaptation Strategies,Water Spraying,,“I think they mean water spray.”,,
FGD7_P3,Recommended Adaptation Strategies,Water Spraying,,"Yes, it would reduce both heat and dirt.",,
FGD7_P7,Recommended Adaptation Strategies,Water Spraying,,"In some places, we heard suggestions about using artificial rainfall or sprinkling water on the roads with vehicles. Yes, yes.",,
FGD7_P7,Recommended Adaptation Strategies,Water Spraying,,"Sprinkling water on the roads would reduce both the temperature and the dirt, keeping the area cleaner.",,
FGD7_P9,Recommended Adaptation Strategies,Water Spraying,,"Some people pour water on the roof at night. It gives a bit of relief, but the heat remains strong.",,
KII_P5,Recommended Adaptation Strategies,Water Spraying,,"If it’s really to be done, then definitely, the system where there’s a pipeline through the median is the best option. If you were to do that, you wouldn’t have to bring separate vehicles and spray water from road to road. When a vehicle sprays water, it consumes fuel, and that vehicle also emits smoke, which contributes to pollution, right? So, I think the safest option is to fit a pipe system in the median of the road if possible. That would be much better.",,
KII_P7,Recommended Adaptation Strategies,Water Spraying,,"“Will this be effective for the heatwave? It may be effective for pollution, to reduce the heat of the roads... but as a science student, if you spray water, will it reduce the heat? It will heat up again after some time, and the water will absorb the heat, and in the atmosphere, it will disperse. So, will this really be effective? And how much water can you spray? Dhaka city has a certain capacity, and you cannot control the heat of the entire city just by spraying water. For the main areas, it may have some effect, but for the whole of Dhaka, controlling heat by spraying water doesn’t seem feasible to me.”",,
KII_P8,Recommended Adaptation Strategies,Water Spraying,,"“As for the practice of spraying water on roads during extreme heat, I have seen the city corporation deploying water tankers to cool down the streets. However, it is not feasible to do this throughout the year.”",,
KII_P8,Recommended Adaptation Strategies,Water Spraying,,"“It helps to some extent. It serves two purposes: first, it reduces dust pollution, which worsens in extreme heat and can cause breathing issues. Second, it slightly lowers the temperature. Even if the impact is small, I believe it is beneficial. This practice is common in other countries too. Whenever they notice a temperature increase of about two degrees, they immediately start spraying water on the roads to control both dust and temperature.”",,
